8D,44A,F,Undeclared,,Math 1A,CompLit R1A,CompSci 10,French 1,
8D,44B,M,EECS,,CompSci 61A,Physics 7A,Math 1B,SSEAStd R5A,
8D,44B,M,Chemical Biology,,Chem 4A,Math 1B,Geography 50AC,Chem 96,
8D,44C,M,Computer Science,,CompSci 61A,Math 54,Film R1A,History 6A,
8D,44D,M,Architecture ,,Math 1A,ColWrit R1A,,,
8D,44D,M,Legal Studies,,Eng 45,CompLit 41B,Philosophy 2,History 5,Sociology 5
8D,44F,M,Chemical Engineering,,Chem 4A,ChemEng 40,Math 53,History 120AC,
8D,46C,M,Integrative Biology,,Chem 1A,Classics R44,Math 10A,,
9?,10A,F,Biology,,FPF-ESPM 50AC,FPF-IntegBio 33,English R1A,FPF-EPS 80,FPF-EthStd 21AC
9?,20A,F ,Bioengineering ,,Chem 1A,Math 1A,Slavic R5A,BioEng 10,BioEng 24
9?,20C,F,MCB,"Spanish, Anthropology",Chem 1A,Math 10A,Spanish 4,CompLit R1B,
9?,20I,F,Engineering Physics,,Math 1A,Chem 1A,Chem 1A,Eng 92,EPS 20
9?,30B,F,Chemical Biology,Psychology,Chem 4A,Math 10A,Anthro 3AC,Chem 96,WiSEng seminar
9?,30H,F,Public Health,Development Studies,Math 16A,ColWrit R1A,MCB32,,
9?,,F,EECS,English,ElecEng 16A,CompSci 61A,Math 53,English 45A,
9A,10A,F,EECS,Mechanical Engineering,CompSci 61A,Physics 7B,Math 53,ColWrit R4B,
9A,10A,F,Computer Science,,CompSci 61A,Chem 1A,Math 54,R4B,
9B,20,F,EECS,,CompSci 61A,ElecEng 16A,Stats 94,Film R1B,
9B,20A,F,EECS,,CompSci 61A,Math 1A,SSEAStd R5A,,
9B,20B,F,Computer Science,CalTeach ,Math 1B,MEStd,AsAmStd,LegalStd,Geology
9B,20B,F,Neurobiology,,Math 10A,Chem 1A,Astronomy C10,,
9B,20B,F,Physics,,Physics H7A,Math 1B,Astronomy C10,CompLit R1A,
9B,20C,F ,Computer Science,Cognitive Science,Math 54,CompSci 61A,Astronomy C10,,
9B,20C,F,Bioengineering,,Chem 1A,Math 1A,BioEng 10,,
9B,20D,F,Math,"Economics, Psychology",CompLit R1A,Math 1B,Stats 20,German 1,
9B,20D,F,Integrative Biology,"Marine Science, Environmental Design",Math 1A,ESPM 50AC,Rhetoric R1A,Geography B30,
9B,20D,F,Chemical Biology,,Chem 4A,Math 1A,CompLit R1A,Chem 96,
9B,20F,F,MCB,English,Physics 8B,MCB 160,CompLit 112A,AsianStd 150,
9B,20F,F,MCB,Jewish Studies,Math 1A,Classics 10A,English R1A,,
9B,20G,F,IEOR,,Math 1A,Chem 1A,Chem 1A,Physics 7A,German 4
9B,20G,F,EECS,,Math 53,ElecEng 16A,CompSci 61A,Rhetoric R1B,
9B,20H,F,Life Sciences,Nutritional Science ,Chem 1A,Math 10A,Scand R5A,Educ 98,
9B,20H,F,Cognitive Science,"Statistics, Computer Science",Math 54,MCB C64,History 7A,Astronomy C10,WiSEng Seminar
9B,30A,F,Public Health,French Minor,Sociology 5,Biology 1B,French 3,MCB 55,
9B,30A,F,Microbiology ,Statistics ,Biology 1B,Stats 133,Chem 3B,Math 54,PlantBio 185
9B,30B,F,Computer Science,,Math 1B,LegalStd R1B,Linguistics 55AC,PolSci 2,
9B,30C,F,Chemistry,"Chemical Biology, MCB",Math 1B,Chem 4A,Psych 1,French R1A,
9B,30C,F,MCB,,Math 10A,Chem 1A,GWS 50AC,,
9B,30C,F,Mechanical Engineering,,Chem 1A,Math 1A,Eng 25,CompLit R1B,
9B,30D,F,Physics,"Astrophysics, French",Physics 7B,Math 53,French 3,WiSEng Seminar,
9B,30E,F,Integrative Biology,Business,Chem 1A,Math 1A,Math 10A,Chem 1A,Spanish 25
9B,30E,F,Astrophysics ,Chemistry,Chem 1A,Astronomy C10,Math 10A,,Chem 1A
9B,30F,F,Chemistry ,"Philosophy, Math",,,,,
9B,30G,F,Bioengineering,Chemical Biology,Math 1B,Chem 1A,Chem 1A,BioEng 10,BioEng 24
9B,30G,F ,Public Health ,Integrative Biology,Math 10A,Spanish 1,Film R1A,Math 10A,
9B,30H,F ,Bioengineering ,,BioEng 10,French 1A,Math 1A,Chem 1A,
